FH CODE,FH NAME,ISIN,NAME OF FUND,CCY,"SETTLEMENT 
(BUY)","SETTLEMENT 
(SELL)",DEALING MODE (SUBS),DEALING MODE (RED),CUT OFF,,TICKER_AND_EXCH_CODE
304,NOMURA ASSET MANAGEMENT UK LTD          ,IE00B3XFBR64,"NOMURA JAPAN STRATEGIC VALUE ""A"" (EUR) ACC                                                                              ",EUR,4,4,D - 0  ,D - 0  ,11:00,CET,NOMJAEU ID Equity
79,NORDEA INVESTMENT FUNDS S.A             ,LU0772958525,"NORDEA 1 NORTH AMERICAN ALL CAP ""BP"" (USD) ACC                                                                          ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,NNAABPU LX Equity
384,OLD MUTUAL FUND MANAGERS LIMITED        ,GB00B1XG7P54,"OLD MUTUAL NORTH AMERICAN EQUITY ""A"" ACC                                                                                ",GBP,4,4,D - 0  ,D - 0  ,12:03,CET,OMNAEAA LN Equity
40,OLD MUTUAL GLOBAL INVESTORS (UK) LIMITED,IE0031387487,"OLD MUTUAL US DIVIDEND ""A"" (USD) ACC                                                                                    ",USD,3,3,D - 0  ,D - 0  ,11:00,CET,SGGUACA ID Equity
39,BNP PARIBAS INVESTMENT PARTNERS         ,LU0194438338,"PARVEST EQUITY JAPAN ""C"" (JPY)                                                                                          ",EUR,3,3,D - 1  ,D - 1  ,13:00,CET,PARJQPY LX Equity
39,BNP PARIBAS INVESTMENT PARTNERS         ,LU0194438841,"PARVEST EQUITY JAPAN SMALL CAP ""C"" (EUR HGD)                                                                            ",EUR,3,3,D - 0  ,D - 0  ,13:00,CET,PARJSCH LX Equity
39,BNP PARIBAS INVESTMENT PARTNERS         ,LU0194435318,"PARVEST EQUITY USA ""C"" (USD HGD)                                                                                        ",EUR,3,3,D - 0  ,D - 0  ,13:00,CET,PARUSHC LX Equity
39,BNP PARIBAS INVESTMENT PARTNERS         ,LU0823435473,"PARVEST EQUITY USA GROWTH ""P"" (USD) ACC                                                                                 ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,PAREUPA LX Equity
39,BNP PARIBAS INVESTMENT PARTNERS         ,LU0154245756,"PARVEST EQUITY USA MID CAP ""C""                                                                                          ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,PARUSMC LX Equity
39,BNP PARIBAS INVESTMENT PARTNERS         ,LU0823410997,"PARVEST EQUITY USA SMALL CAP ""C"" (USD) ACC                                                                              ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,FORESCC LX Equity
35,JANUS CAPITAL INTERNATIONAL LTD         ,IE0001256803,"PERKINS US STRATEGIC VALUE ""A"" (USD) ACC                                                                                ",USD,3,3,D - 0  ,D - 0  ,18:00,CET,JANSVAI ID Equity
21,PICTET FUNDS                            ,LU0148537748,"PICTET JAPAN INDEX ""R"" ACC                                                                                              ",JPY,3,3,D - 1  ,D - 1  ,11:00,CET,PTFJPNR LX Equity
21,PICTET FUNDS                            ,LU0255979238,"PICTET JAPANESE EQUITIES 130/30 ""I""(EUR) ACC                                                                            ",EUR,3,3,D - 1  ,D - 1  ,13:00,CET,PFJPANI LX Equity
21,PICTET FUNDS                            ,LU0095053426,"PICTET JAPANESE EQUITY OPPORTUNITIES""P"" ACC                                                                             ",JPY,3,3,D - 1  ,D - 1  ,13:00,CET,PIPCVJA LX Equity
21,PICTET FUNDS                            ,LU0248320581,"PICTET JAPANESE EQUITY SELECTION ""HR"" (EUR) ACC                                                                         ",EUR,3,3,D - 1  ,D - 1  ,13:00,CET,PICJEHR LX Equity
21,PICTET FUNDS                            ,LU0256842575,"PICTET US EQUITY SELECTION ""R"" ACC                                                                                      ",USD,2,2,D - 1  ,D - 1  ,13:00,CET,PEQSELR LX Equity
111,PIMCO                                   ,IE00B1D7YP71,"PIMCO STOCKS PLUS ""E"" (USD) ACC                                                                                         ",USD,2,2,D - 0  ,D - 0  ,15:30,CET,PIMSKPL ID Equity
45,PIONEER INVESTMENTS                     ,LU0347184581,"PIONEER US FUNDAMENTAL GROWTH ""E"" (EUR) ACC                                                                             ",EUR,3,3,D - 0  ,D - 0  ,15:30,CET,PFUSREU LX Equity
45,PIONEER INVESTMENTS                     ,LU0133618602,"PIONEER US MID CAP VALUE ""E"" (EUR) ACC                                                                                  ",EUR,3,3,D - 0  ,D - 0  ,15:30,CET,PIUSMCE LX Equity
45,PIONEER INVESTMENTS                     ,LU0133645597,"PIONEER US PIONEER ""C"" (USD) ACC                                                                                        ",USD,3,3,D - 0  ,D - 0  ,15:30,CET,PIAMECU LX Equity
45,PIONEER INVESTMENTS                     ,LU0085424652,"PIONEER US RESEARCH ""E"" NON DISTRIBUTING (EUR) ACC                                                                      ",EUR,3,3,D - 0  ,D - 0  ,15:30,CET,EFNAMEQ LX Equity
53,ROBECO                                  ,LU0940004327,"ROBECO US LARGE CAP EQUITIES ""FH"" (EUR) ACC                                                                             ",EUR,3,3,D - 1  ,D - 1  ,13:00,CET,ROULCFH LX Equity
53,ROBECO                                  ,LU0226953718,"ROBECO US PREMIUM EQUITIES ""D"" (USD) ACC                                                                                ",USD,3,3,D - 1  ,D - 1  ,13:00,CET,RGCUPUD LX Equity
53,ROBECO                                  ,LU0674140396,"ROBECO US SELECT OPPORTUNITIES EQUITIES ""D"" (USD) ACC                                                                   ",USD,3,3,D - 1  ,D - 1  ,13:00,CET,RUSOEDU LX Equity
842,ROYAL LONDON UNIT TRUST MANAGERS        ,GB00B52R6496,"ROYAL LONDON JAPAN TRACKER ""Z"" ACC                                                                                      ",GBP,4,4,D - 0  ,D - 0  ,12:03,CET,RLJPANA LN Equity
31,SCHRODER INVESTMENT MANAGEMENT          ,LU0236738604,"SCHRODER ISF JAPANESE EQUITY ""A1"" (EUR HDG) ACC                                                                         ",EUR,3,3,D - 0  ,D - 0  ,12:00,CET,SCHJHA1 LX Equity
31,SCHRODER INVESTMENT MANAGEMENT          ,LU0943301571,"SCHRODER ISF JAPANESE OPPORTUNITIES ""A"" (EUR HDG) ACC                                                                   ",EUR,3,3,D - 0  ,D - 0  ,12:00,CET,SCJAHAE LX Equity
31,SCHRODER INVESTMENT MANAGEMENT          ,LU0133715804,"SCHRODER ISF US LARGE CAP ""A1"" ACC                                                                                      ",USD,3,3,D - 0  ,D - 0  ,12:00,CET,SCHNEA1 LX Equity
31,SCHRODER INVESTMENT MANAGEMENT          ,LU0205193047,"SCHRODER ISF US SMALL & MID-CAP EQUITY ""A"" (USD)  ACC                                                                   ",USD,3,3,D - 0  ,D - 0  ,12:00,CET,SCHUMAA LX Equity
31,SCHRODER INVESTMENT MANAGEMENT          ,LU0106261612,"SCHRODER ISF US SMALLER COMPANIES ""A"" ACC                                                                               ",USD,3,3,D - 0  ,D - 0  ,12:00,CET,SCHUSSA LX Equity
233,STATE STREET FRANCE                     ,FR0000986739,"SSGA NORTH AMERICA ENHANCED EQUITY ""P"" ACC                                                                              ",USD,3,3,D - 1  ,D - 1  ,15:31,CET,SSTNAEN FP Equity
233,STATE STREET FRANCE                     ,FR0000018285,"SSGA US INDEX EQUITY ""P"" (USD) ACC                                                                                      ",USD,3,3,D - 1  ,D - 1  ,15:31,CET,BALUSAI FP Equity
236,T ROWE PRICE FUNDS SICAV                ,LU0174119429,"T ROWE PRICE US LARGE CAP GROWTH EQUITY ""A"" ACC                                                                         ",USD,3,3,D - 0  ,D - 0  ,11:01,CET,TRPLGEA LX Equity
236,T ROWE PRICE FUNDS SICAV                ,LU0133099654,"T ROWE PRICE US LARGE CAP VALUE EQ ""A"" ACC                                                                              ",USD,3,3,D - 0  ,D - 0  ,11:01,CET,TRPULAA LX Equity
236,T ROWE PRICE FUNDS SICAV                ,LU0133096635,"T ROWE PRICE US SMALLER COMPANIES EQUITY ""A"" ACC                                                                        ",USD,3,3,D - 0  ,D - 0  ,11:01,CET,TRPSCEA LX Equity
54,FRED ALGER MANAGEMENT INC               ,LU0070176184,"THE ALGER AMERICAN ASSET GROWTH ""A"" ACC                                                                                 ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,FAMAAGI LX Equity
395,THREADNEEDLE INVESTMENT SERVICES LTD    ,GB0001530566,"THREADNEEDLE AMERICAN ""1"" RNA (GBP) ACC                                                                                 ",GBP,4,4,D - 0  ,D - 0  ,12:03,CET,TDNAMGI LN Equity
395,THREADNEEDLE INVESTMENT SERVICES LTD    ,GB0001529121,"THREADNEEDLE JAPAN ""1"" RNA (GBP) ACC                                                                                    ",GBP,4,4,D - 0  ,D - 0  ,12:03,CET,TDNJPGI LN Equity
310,TOBAM ASSET MANAGEMENT                  ,FR0010368910,"TOBAM ANTI-BENCHMARK US EQUITY ""A"" ACC                                                                                  ",USD,2,2,D - 0  ,D - 0  ,09:30,CET,LBABKUS FP Equity
66,UBP GESTION INSTITUTIONNELLE            ,LU0052780409,"UBAM IFDC JAPAN EQUITY VALUE ""A"" ACC                                                                                    ",JPY,4,4,D - 1  ,D - 1  ,11:00,CET,SCEJPEQ LX Equity
66,UBP GESTION INSTITUTIONNELLE            ,LU0045841987,"UBAM NEUBERGER BERMAN US EQ VALUE ""A"" USD ACC                                                                           ",USD,4,4,D - 0  ,D - 0  ,11:00,CET,SCENAME LX Equity
23,UBS GLOBAL AM                           ,LU0049842262,"UBS (LUX) EQUITY FUND -  MID CAPS USA ""P"" (USD) ACC                                                                     ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,SBCSMUI LX Equity
23,UBS GLOBAL AM                           ,LU0098995292,"UBS (LUX) EQUITY FUND -  USA MULTI STRATEGY ""P"" (USD) ACC                                                               ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,UBSEUSI LX Equity
23,UBS GLOBAL AM                           ,LU0868494617,"UBS (LUX) EQUITY SICAV - US TOTAL YIELD ""P"" (USD) ACC                                                                   ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,UBUTPAU LX Equity
23,UBS GLOBAL AM                           ,LU0198837287,"UBS (LUX) EQUITY SICAV - USA GROWTH ""P"" (USD) ACC                                                                       ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,UBUSAGB LX Equity
856,UBS GLOBAL ASSET MANAGEMENT (UK) LTD    ,GB0032004326,"UBS US EQUITY ""A"" ACC                                                                                                   ",GBP,3,3,D - 0  ,D - 0  ,12:03,CET,UBSUEAA LN Equity
191,BELGRAVE CAPITAL MANAGEMENT LTD.        ,LU0117772284,"VITRUVIUS JAPANESE EQUITY ""B"" (EUR) ACC                                                                                 ",EUR,3,3,D - 1  ,D - 1  ,15:30,CET,VITJECB LX Equity
67,VONTOBEL AM                             ,LU0035765741,"VONTOBEL US EQUITY ""B""  ACC                                                                                             ",USD,3,3,D - 0  ,D - 0  ,13:00,CET,VONUVBI LX Equity
